id	filename	md5	size	state
1da7fd5e-4de8-42dd-81e6-3225361ff08f	1026ea02-0009-403f-95bd-cde07dbdd21b.rna_seq.transcriptome.gdc_realn.bam	4e4e9c929aa8d7f8bc4787307f491a73	10161405716	released
37e40616-bb3d-4574-b798-b8ca3d2ea9ab	e51f1157-ef27-47b9-bd59-1456cd7eb33b.rna_seq.transcriptome.gdc_realn.bam	4842b61f6920290fae26a8e7e5bc7eb8	14343080929	released
b707aa84-9e52-4fa3-8260-86d077cf3de9	1fde266c-c236-4da4-9b59-4ac6aae51929.rna_seq.transcriptome.gdc_realn.bam	81150e166e66ce6d9943881d8bdbff31	12636348117	released
cc24905f-e089-4777-85e9-1bade6c482cf	a03d4b08-f826-4216-878e-f8c818a3791c.rna_seq.transcriptome.gdc_realn.bam	18a30555841cde8fe6f93ffde95ade34	14766215817	released
c24300b0-50f8-47a2-9a44-20339414c328	8faa741c-2bd9-4114-adc6-65c8b064a87e.rna_seq.transcriptome.gdc_realn.bam	aceb0eb6979c27c6bc3e32129832017f	12899966332	released
4ffda09c-e0b9-43fd-abf0-3cb94a4dbdee	4100a850-68a9-4bb9-ae91-dd63d64cb1aa.rna_seq.transcriptome.gdc_realn.bam	34acc4dc88ca77aaa4c75ab8a2e3f063	8000300438	released
703f5307-3ab7-45a7-8680-0ac2c66ddd1e	9a100fca-67f0-4dd0-819e-cffd2252b4ec.rna_seq.transcriptome.gdc_realn.bam	ea27c4981e76fad6f4cbb0867aa2f15f	14090555190	released
125d85ca-5c06-4a86-8d12-b1719ecc0782	b9dee63d-1b14-4e38-b691-e7e76dcc4db6.rna_seq.transcriptome.gdc_realn.bam	31747e7ef4ae6123aa2ddf6f890876bc	15288673489	released
03f0b208-575e-44fd-b583-7feec4dd81f8	d339b92c-dd3a-4a07-b4ef-a68e1815c980.rna_seq.transcriptome.gdc_realn.bam	f68bd8ccf2e8919e47505490c2274334	10352329361	released
9c0b4d2f-ce48-4eff-bcce-ae39072a7422	a0169877-dd20-4c7d-826c-bb424199a036.rna_seq.transcriptome.gdc_realn.bam	56962a589a2055b151d6f32c9d0e5b7d	13090725245	released
08263e1d-b110-4905-a234-34f2fc205794	d18e3fad-68c9-4320-9969-3837c2ae8930.rna_seq.transcriptome.gdc_realn.bam	14f227d4f01634cfafd7840ccd6fa657	13303488549	released
191d574d-84bb-4a18-88d1-f4a782474666	025adeb7-dd68-47e3-b35c-0749e91304e7.rna_seq.transcriptome.gdc_realn.bam	ac764f3c89e3b776438b6e31d48ff612	12414797989	released
4c04c8ed-959d-4a40-bdc3-7b08ead0c531	808281db-845b-4493-9076-8cd46c62e2a5.rna_seq.transcriptome.gdc_realn.bam	c110e823eb5328d3004134433ea0e27e	9237187445	released
8699e58b-27ca-4cea-95ba-c4e20fd03673	9f35f301-9683-4cdf-bb2b-1d6e5928ff96.rna_seq.transcriptome.gdc_realn.bam	856b834c8e9ccfcd21361ec1a04879f3	13251928542	released
c2f35e29-e353-491f-be3e-0814be1ef8d4	94a6881c-34ca-4f00-8fac-640f97a56c01.rna_seq.transcriptome.gdc_realn.bam	013179c77276bb67f588137f22bfa807	12312387593	released
084576f9-ec67-43e3-8878-2ae7de77527c	70c1d5c6-fb89-4b92-abc3-c0440231ca4d.rna_seq.transcriptome.gdc_realn.bam	4f4cbde4b10dacf83fb32bdc24ce7120	14132904168	released
f6232fe5-07c6-4336-af90-fa6e2d6ef246	4414a69d-05c3-437d-83e2-efb95835726b.rna_seq.transcriptome.gdc_realn.bam	d64122f49ee0e9cb175e9656300a916a	15044128275	released
